den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,code_region,name_region,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
pátek,2020-11-13,3210,Přeštice,54,13,7,196,37,19,17,9,250,3210,Přeštice,22885,4449,CZ032,Plzeňský kraj,922.0013109023378,16,False,0,854.1245223645763,16,True,2,21.6,20,False,0,0.3776223776223776,0,54
pátek,2020-11-13,3211,Rokycany,145,30,18,354,86,43,22,16,612,3211,Rokycany,49349,10085,CZ032,Plzeňský kraj,960.5057853249307,20,False,0,1021.3187902825979,20,True,2,23.692810457516337,25,False,0,0.56640625,0,67
pátek,2020-11-13,3212,Stod,79,14,5,272,50,24,13,7,277,3212,Stod,23393,4517,CZ032,Plzeňský kraj,1154.191424785192,20,False,0,1106.9293779056895,20,True,2,28.51985559566787,30,False,0,0.4388888888888889,0,72
pátek,2020-11-13,3213,Stříbro,92,9,4,202,24,9,10,9,269,3213,Stříbro,17190,3184,CZ032,Plzeňský kraj,1244.9098312972658,20,False,0,628.140703517588,16,True,2,34.20074349442379,30,False,0,0.71875,0,68
pátek,2020-11-13,3214,Sušice,84,18,9,189,44,21,11,7,299,3214,Sušice,24150,5546,CZ032,Plzeňský kraj,981.3664596273293,20,False,0,883.5196538045439,16,True,2,28.093645484949832,30,False,0,0.7304347826086957,0,68
pátek,2020-11-13,3215,Tachov,174,33,13,352,69,31,20,10,586,3215,Tachov,37146,6444,CZ032,Plzeňský kraj,1098.3685995800356,20,False,0,1024.2085661080075,20,True,2,29.692832764505116,30,False,0,0.6692307692307692,0,72
pátek,2020-11-13,4101,Aš,58,12,4,100,16,5,5,6,185,4101,Aš,17695,3278,CZ041,Karlovarský kraj,627.2958462842611,16,True,0,549.1153142159853,16,True,2,31.351351351351354,30,True,2,0.9354838709677419,5,71
pátek,2020-11-13,4102,Cheb,189,30,10,383,62,18,13,9,557,4102,Cheb,49955,9806,CZ041,Karlovarský kraj,850.7656891202081,16,False,0,673.0573118498878,16,True,2,33.931777378815084,30,True,2,0.84375,5,71
pátek,2020-11-13,4103,Karlovy Vary,350,119,72,697,207,112,73,59,1124,4103,Karlovy Vary,87182,19250,CZ041,Karlovarský kraj,953.1784083870523,16,False,0,1314.2857142857144,20,True,2,31.13879003558719,30,True,2,0.7918552036199095,0,70
pátek,2020-11-13,4104,Kraslice,46,14,4,93,23,6,6,8,189,4104,Kraslice,13184,2750,CZ041,Karlovarský kraj,849.5145631067961,16,False,0,1090.909090909091,20,True,2,24.33862433862434,25,False,0,0.7666666666666667,0,63
pátek,2020-11-13,4105,Mariánské Lázně,93,27,12,171,49,20,16,5,293,4105,Mariánské Lázně,23984,5419,CZ041,Karlovarský kraj,879.7531687791861,16,False,0,959.5866396014026,16,True,2,31.74061433447099,30,True,2,0.8611111111111112,5,71
pátek,2020-11-13,4106,Ostrov,153,58,48,259,69,48,20,19,388,4106,Ostrov,27636,5453,CZ041,Karlovarský kraj,1190.4761904761904,20,False,0,1668.806161745828,20,True,2,39.43298969072165,30,True,2,1.0408163265306123,10,84
pátek,2020-11-13,4107,Sokolov,400,91,47,799,175,86,61,55,1068,4107,Sokolov,75028,14222,CZ041,Karlovarský kraj,1304.8461907554513,20,False,0,1335.9583743495991,20,True,2,37.453183520599254,30,True,2,0.7782101167315175,0,74
pátek,2020-11-13,4201,Bílina,100,15,8,169,25,14,15,9,303,4201,Bílina,22600,3935,CZ042,Ústecký kraj,849.5575221238938,16,True,0,762.3888182973317,16,True,2,33.003300330033,30,False,0,1.1494252873563218,10,74
pátek,2020-11-13,4202,Děčín,438,88,42,845,189,94,46,45,1321,4202,Děčín,76842,16362,CZ042,Ústecký kraj,1345.618281668879,20,False,0,1393.4726806013934,20,True,2,33.15669947009841,30,False,0,0.8217636022514071,5,77
pátek,2020-11-13,4203,Chomutov,387,75,33,889,169,83,70,42,1307,4203,Chomutov,81662,14681,CZ042,Ústecký kraj,1208.6404937424995,20,False,0,1239.697568285539,20,True,2,29.609793420045904,30,False,0,0.7385496183206107,0,72
