den,datum,orp_kod,orp_nazev,incidence_7,incidence_65_7,incidence_75_7,prevalence,prevalence_65,prevalence_75,aktualni_pocet_hospitalizovanych_osob,nove_hosp_7,testy_7,code,name,population,population_65,value_1,score_1,value_2,score_2,value_3,score_3,value_4,score_4,value_5,score_5,value_6,score_6,value_7,score_7,score
sobota,2020-10-31,4204,Kadaň,419,77,37,568,94,44,52,51,1090,4204,Kadaň,43284,8078,1591.8122169854912,16,True,2,1497.8955186927456,16,True,2,38.440366972477065,25,False,0,1.2658610271903323,15,76
sobota,2020-10-31,4205,Litoměřice,547,74,34,898,125,54,46,42,1447,4205,Litoměřice,59110,11658,1845.71138555236,16,True,2,1140.847486704409,16,True,2,37.80234968901175,25,False,0,1.0224299065420561,10,71
sobota,2020-10-31,4206,Litvínov,365,46,16,475,60,20,22,25,845,4206,Litvínov,37035,7785,1649.7907384906168,16,True,2,1027.6172125883108,16,True,2,43.19526627218935,25,False,0,1.2852112676056338,15,76
sobota,2020-10-31,4207,Louny,421,55,19,612,78,28,25,23,1136,4207,Louny,43640,8545,1972.9605866177817,16,True,2,1322.4107665301347,16,True,2,37.059859154929576,25,False,0,0.8662551440329218,5,66
sobota,2020-10-31,4208,Lovosice,243,28,11,381,40,20,22,22,646,4208,Lovosice,27750,5804,1866.6666666666667,16,True,2,844.2453480358374,16,True,2,37.61609907120743,25,False,0,0.9,5,66
sobota,2020-10-31,4209,Most,677,120,68,893,135,76,62,64,1582,4209,Most,74673,13629,1541.3871144858247,16,True,2,1247.3402303910777,16,True,2,42.79393173198483,25,False,0,1.284629981024668,15,76
sobota,2020-10-31,4210,Podbořany,94,18,8,139,23,10,9,9,362,4210,Podbořany,15678,3106,1167.2407194795253,16,True,2,965.8725048293626,16,True,2,25.96685082872928,25,False,0,1.0681818181818181,10,71
sobota,2020-10-31,4211,Roudnice nad Labem,344,58,28,578,87,35,22,18,862,4211,Roudnice nad Labem,32808,6650,1752.6213118751525,16,True,2,1368.421052631579,16,True,2,39.90719257540603,25,True,2,1.3650793650793651,15,78
sobota,2020-10-31,4212,Rumburk,148,28,10,203,33,9,8,5,550,4212,Rumburk,32795,6681,893.4288763531027,16,True,2,868.1335129471637,16,True,2,26.90909090909091,25,True,2,0.961038961038961,5,68
sobota,2020-10-31,4213,Teplice,738,86,33,942,105,39,54,52,1987,4213,Teplice,106472,21215,1233.1880682245096,16,True,2,768.3242988451567,16,True,2,37.14141922496225,25,True,2,1.1232876712328768,10,73
